timestamp,symbol,signal,confidence,predicted_return,strategy,signal_type
2025-07-20T07:36:08.328471,BTCUSDT,0.6851981546431425,0.6851981546431425,0.00822237785571771,DipMaster,BUY
2025-07-20T15:36:08.328471,BTCUSDT,0.6569276492544399,0.6569276492544399,0.00788313179105328,DipMaster,BUY
2025-07-21T07:36:08.328471,BTCUSDT,0.6804267628311726,0.6804267628311726,0.008165121153974072,DipMaster,BUY
2025-07-25T19:36:08.328471,BTCUSDT,0.7565695864520714,0.7565695864520714,0.009078835037424857,DipMaster,BUY
2025-07-26T15:36:08.328471,BTCUSDT,0.6804176228759748,0.6804176228759748,0.008165011474511699,DipMaster,BUY
2025-07-27T15:36:08.328471,BTCUSDT,0.6392128321788426,0.6392128321788426,0.007670553986146112,DipMaster,BUY
2025-07-28T15:36:08.328471,BTCUSDT,0.6229700792240207,0.6229700792240207,0.007475640950688248,DipMaster,BUY
2025-07-29T11:36:08.328471,BTCUSDT,0.6103062045494247,0.6103062045494247,0.007323674454593097,DipMaster,BUY
2025-07-30T19:36:08.328471,BTCUSDT,0.861031243431641,0.861031243431641,0.010332374921179692,DipMaster,BUY
2025-08-01T07:36:08.328471,BTCUSDT,0.6216544850749337,0.6216544850749337,0.007459853820899204,DipMaster,BUY
2025-08-01T11:36:08.328471,BTCUSDT,0.6790346970282295,0.6790346970282295,0.008148416364338754,DipMaster,BUY
2025-08-04T11:36:08.328471,BTCUSDT,0.6104415024673782,0.6104415024673782,0.007325298029608538,DipMaster,BUY
